Num   theta     phi         ul          ul_err   
530   2.001    0.393   4.361730e-15  1.138286e-16
531   2.001    0.589   4.958855e-15  3.773953e-16
532   2.001    0.785   6.968209e-15  6.969872e-16
533   2.001    0.982   7.842841e-15  3.992145e-16
534   2.001    1.178   8.681207e-15  3.436848e-16
535   2.001    1.374   9.263353e-15  8.261901e-16
536   2.001    1.571   9.670305e-15  5.702795e-16
537   2.001    1.767   9.037871e-15  3.746185e-16
538   2.001    1.963   9.095298e-15  5.932749e-16
539   2.001    2.160   8.332061e-15  3.660792e-16
540   2.001    2.356   6.562981e-15  4.267128e-16
541   2.001    2.553   6.468968e-15  1.229206e-16
542   2.001    2.749   4.662509e-15  2.183209e-16
543   2.001    2.945   4.696446e-15  2.876519e-16
544   2.001    3.142   3.788039e-15  2.300288e-16
545   2.001    3.338   3.220669e-15  3.025023e-16
546   2.001    3.534   2.692775e-15  9.041800e-17
547   2.001    3.731   2.855106e-15  1.310083e-16
548   2.001    3.927   2.710863e-15  1.969312e-16
549   2.001    4.123   2.546414e-15  1.285664e-16
550   2.001    4.320   2.444187e-15  1.600591e-16
551   2.001    4.516   2.371068e-15  1.641447e-16
552   2.001    4.712   2.169781e-15  1.202530e-16
553   2.001    4.909   2.640704e-15  1.905268e-16
554   2.001    5.105   2.163061e-15  1.208663e-16
555   2.001    5.301   2.227579e-15  1.365958e-16
556   2.001    5.498   2.123103e-15  1.556333e-16
557   2.001    5.694   2.355031e-15  9.468906e-17
558   2.001    5.890   2.306663e-15  8.658969e-17
559   2.001    6.087   2.691361e-15  1.201595e-16
560   2.094    0.098   3.606344e-15  2.087909e-16
561   2.094    0.295   3.808147e-15  2.762025e-16
562   2.094    0.491   4.750777e-15  8.690766e-17
563   2.094    0.687   6.585767e-15  5.742263e-16
564   2.094    0.884   6.861751e-15  5.533559e-16
565   2.094    1.080   7.768800e-15  2.854317e-16
566   2.094    1.276   9.338766e-15  4.142541e-16
567   2.094    1.473   8.561108e-15  3.666913e-16
568   2.094    1.669   9.849567e-15  9.976636e-16
569   2.094    1.865   7.618142e-15  5.054664e-16
570   2.094    2.062   7.200759e-15  2.640487e-16
571   2.094    2.258   7.220680e-15  7.699070e-16
572   2.094    2.454   6.165719e-15  2.794433e-16
573   2.094    2.651   5.834645e-15  4.461849e-16
574   2.094    2.847   4.758199e-15  4.164373e-16
575   2.094    3.043   4.153109e-15  2.290130e-16
576   2.094    3.240   3.664004e-15  7.894211e-16
577   2.094    3.436   2.906761e-15  1.289652e-16
578   2.094    3.632   2.942224e-15  4.156860e-16
579   2.094    3.829   2.603869e-15  1.952855e-16
580   2.094    4.025   2.672386e-15  1.736830e-16
581   2.094    4.222   2.581871e-15  2.154171e-16
582   2.094    4.418   2.346092e-15  2.411762e-16
583   2.094    4.614   2.406329e-15  1.989577e-16
584   2.094    4.811   2.384361e-15  1.348548e-16
585   2.094    5.007   2.097467e-15  1.689745e-16
586   2.094    5.203   2.076604e-15  1.336206e-16
587   2.094    5.400   2.269115e-15  2.032392e-16
588   2.094    5.596   2.345611e-15  1.815618e-16
589   2.094    5.792   2.218175e-15  1.280107e-16
590   2.094    5.989   2.595854e-15  1.533145e-16
591   2.094    6.185   3.031833e-15  1.873895e-16
592   2.194    0.000   3.129668e-15  1.347663e-16
593   2.194    0.196   4.160609e-15  1.616550e-16
594   2.194    0.393   4.690012e-15  2.781892e-16
595   2.194    0.589   5.443342e-15  3.555761e-16
596   2.194    0.785   5.659826e-15  2.182269e-16
597   2.194    0.982   7.605880e-15  8.255722e-16
598   2.194    1.178   8.084258e-15  7.121052e-16
599   2.194    1.374   8.940612e-15  5.598613e-16
600   2.194    1.571   8.350932e-15  5.563683e-16
601   2.194    1.767   7.474379e-15  3.601437e-16
602   2.194    1.963   6.895342e-15  2.589454e-16
603   2.194    2.160   6.653955e-15  3.948635e-16
604   2.194    2.356   6.335043e-15  2.983786e-16
605   2.194    2.553   5.245870e-15  2.509888e-16
606   2.194    2.749   4.991100e-15  4.629285e-16
607   2.194    2.945   3.961499e-15  2.077519e-16
608   2.194    3.142   3.567034e-15  1.994554e-16
609   2.194    3.338   3.110242e-15  1.673360e-16
610   2.194    3.534   2.832530e-15  2.351254e-16
611   2.194    3.731   2.745930e-15  1.784755e-16
612   2.194    3.927   2.483411e-15  1.130656e-16
613   2.194    4.123   2.749189e-15  2.124787e-16
614   2.194    4.320   2.227721e-15  1.507660e-16
615   2.194    4.516   2.125211e-15  1.212643e-16
616   2.194    4.712   2.099831e-15  1.420021e-16
617   2.194    4.909   2.042378e-15  9.996179e-17
618   2.194    5.105   2.140667e-15  1.478247e-16
619   2.194    5.301   2.170547e-15  1.493952e-16
620   2.194    5.498   2.163695e-15  8.651625e-17
621   2.194    5.694   2.383849e-15  1.574315e-16
622   2.194    5.890   2.532757e-15  1.841140e-16
623   2.194    6.087   2.878106e-15  4.735878e-16
624   2.301    0.098   3.296881e-15  3.072116e-16
625   2.301    0.295   3.837097e-15  3.333306e-16
626   2.301    0.491   4.765411e-15  1.998485e-16
627   2.301    0.687   5.563391e-15  3.125421e-16
628   2.301    0.884   6.912768e-15  3.488718e-16
629   2.301    1.080   7.484570e-15  6.269714e-16
630   2.301    1.276   6.927440e-15  3.792831e-16
631   2.301    1.473   7.618446e-15  3.962014e-16
632   2.301    1.669   7.891020e-15  4.319229e-16
633   2.301    1.865   7.236674e-15  4.707007e-16
634   2.301    2.062   6.728197e-15  3.973309e-16
635   2.301    2.258   5.909961e-15  3.293593e-16
636   2.301    2.454   5.299424e-15  3.034792e-16
637   2.301    2.651   4.656875e-15  3.402035e-16
638   2.301    2.847   4.454804e-15  1.984141e-16
639   2.301    3.043   4.373688e-15  1.765039e-16
640   2.301    3.240   3.552310e-15  2.150006e-16
641   2.301    3.436   3.391656e-15  3.005074e-16
642   2.301    3.632   2.835326e-15  1.754728e-16
643   2.301    3.829   2.762805e-15  1.341299e-16
644   2.301    4.025   2.698395e-15  1.341569e-16
645   2.301    4.222   2.603117e-15  1.768708e-16
646   2.301    4.418   2.294119e-15  2.322009e-16
647   2.301    4.614   2.146099e-15  1.371349e-16
648   2.301    4.811   2.520042e-15  2.038054e-16
649   2.301    5.007   1.923190e-15  8.149265e-17
650   2.301    5.203   2.019097e-15  6.033132e-17
651   2.301    5.400   2.188510e-15  1.066229e-16
652   2.301    5.596   2.302694e-15  2.797955e-16
653   2.301    5.792   2.260588e-15  1.331674e-16
654   2.301    5.989   2.529905e-15  1.079592e-16
655   2.301    6.185   3.142370e-15  1.107844e-16
656   2.411    0.112   3.797440e-15  3.507598e-16
657   2.411    0.337   4.541160e-15  3.429839e-16
658   2.411    0.561   4.648777e-15  2.167463e-16
659   2.411    0.785   4.977847e-15  4.318009e-16
660   2.411    1.010   6.086288e-15  3.295006e-16
661   2.411    1.234   6.290419e-15  2.367776e-16
662   2.411    1.459   6.513087e-15  5.139267e-16
663   2.411    1.683   6.432299e-15  3.823942e-16
664   2.411    1.907   6.166202e-15  3.603698e-16
665   2.411    2.132   5.804142e-15  2.392011e-16
666   2.411    2.356   6.133665e-15  2.890390e-16
667   2.411    2.581   4.438532e-15  3.761854e-16
668   2.411    2.805   4.814336e-15  3.317832e-16
669   2.411    3.029   3.607936e-15  2.576333e-16
670   2.411    3.254   2.998802e-15  2.566124e-16
671   2.411    3.478   3.142025e-15  2.700445e-16
672   2.411    3.703   2.954532e-15  1.455021e-16
673   2.411    3.927   2.748274e-15  1.088796e-16
674   2.411    4.151   2.741510e-15  1.491882e-16
675   2.411    4.376   2.217385e-15  1.245523e-16
676   2.411    4.600   2.235462e-15  2.100445e-16
677   2.411    4.825   2.277393e-15  1.030645e-16
678   2.411    5.049   2.168138e-15  1.307572e-16
679   2.411    5.273   2.258065e-15  1.438179e-16
680   2.411    5.498   2.395887e-15  1.272763e-16
681   2.411    5.722   2.534377e-15  1.313540e-16
682   2.411    5.947   2.661386e-15  2.243168e-16
683   2.411    6.171   2.886316e-15  1.177867e-16
684   2.519    0.131   3.431811e-15  2.257646e-16
685   2.519    0.393   5.208478e-15  3.430936e-16
686   2.519    0.654   5.531705e-15  5.553965e-16
687   2.519    0.916   5.464768e-15  3.526851e-16
688   2.519    1.178   5.244857e-15  1.828426e-16
689   2.519    1.440   6.233787e-15  3.772077e-16
690   2.519    1.702   5.612963e-15  6.778238e-16
691   2.519    1.963   5.641650e-15  3.360846e-16
692   2.519    2.225   5.083363e-15  2.472982e-16
693   2.519    2.487   4.592154e-15  2.472768e-16
694   2.519    2.749   4.129551e-15  2.183157e-16
695   2.519    3.011   3.634942e-15  1.502105e-16
696   2.519    3.272   3.389369e-15  1.456312e-16
697   2.519    3.534   3.267983e-15  1.804832e-16
698   2.519    3.796   2.533377e-15  1.791350e-16
699   2.519    4.058   2.941039e-15  2.658553e-16
700   2.519    4.320   2.534996e-15  2.201000e-16
701   2.519    4.581   2.301010e-15  1.556704e-16
702   2.519    4.843   2.179835e-15  1.076635e-16
703   2.519    5.105   2.340273e-15  1.371958e-16
704   2.519    5.367   2.267483e-15  1.086929e-16
705   2.519    5.629   2.731513e-15  1.879676e-16
706   2.519    5.890   2.657034e-15  9.290355e-17
707   2.519    6.152   3.324253e-15  1.496528e-16
708   2.626    0.157   3.559413e-15  2.748043e-16
709   2.626    0.471   4.055844e-15  1.491598e-16
710   2.626    0.785   4.912708e-15  2.251098e-16
711   2.626    1.100   5.133971e-15  3.328844e-16
712   2.626    1.414   5.235550e-15  2.363970e-16
713   2.626    1.728   4.983618e-15  3.476720e-16
714   2.626    2.042   4.608020e-15  2.339403e-16
715   2.626    2.356   4.486969e-15  2.393545e-16
716   2.626    2.670   4.695550e-15  4.802315e-16
717   2.626    2.985   3.427676e-15  2.311520e-16
718   2.626    3.299   3.212135e-15  1.838423e-16
719   2.626    3.613   2.778869e-15  2.094368e-16
720   2.626    3.927   2.551142e-15  1.282811e-16
721   2.626    4.241   2.404338e-15  1.903315e-16
722   2.626    4.555   2.475329e-15  1.318142e-16
723   2.626    4.869   2.380635e-15  1.598777e-16
724   2.626    5.184   2.262449e-15  1.258084e-16
725   2.626    5.498   2.454195e-15  7.983842e-17
726   2.626    5.812   2.698996e-15  2.159668e-16
727   2.626    6.126   3.136324e-15  2.697081e-16
728   2.730    0.196   3.645648e-15  2.724044e-16
729   2.730    0.589   4.053708e-15  2.335321e-16
730   2.730    0.982   4.507838e-15  2.075942e-16
731   2.730    1.374   4.996016e-15  4.289974e-16
732   2.730    1.767   4.503761e-15  2.129655e-16
733   2.730    2.160   4.501717e-15  4.010407e-16
734   2.730    2.553   3.999417e-15  1.763202e-16
735   2.730    2.945   3.423397e-15  3.767106e-16
736   2.730    3.338   3.234529e-15  1.779966e-16
737   2.730    3.731   2.840728e-15  1.556116e-16
738   2.730    4.123   2.677110e-15  2.383272e-16
739   2.730    4.516   2.390316e-15  1.595672e-16
740   2.730    4.909   2.409194e-15  1.002769e-16
741   2.730    5.301   2.785548e-15  1.305374e-16
742   2.730    5.694   2.573822e-15  1.822762e-16
743   2.730    6.087   3.053172e-15  1.824985e-16
744   2.834    0.262   3.340180e-15  3.074516e-16
745   2.834    0.785   3.952467e-15  3.429735e-16
746   2.834    1.309   4.326744e-15  1.711971e-16
747   2.834    1.833   4.530268e-15  4.148989e-16
748   2.834    2.356   4.460006e-15  1.700496e-16
749   2.834    2.880   3.549327e-15  2.518536e-16
750   2.834    3.403   2.822447e-15  1.530811e-16
751   2.834    3.927   3.311591e-15  1.981689e-16
752   2.834    4.451   2.390575e-15  9.353375e-17
753   2.834    4.974   2.512299e-15  1.830285e-16
754   2.834    5.498   2.616888e-15  9.280354e-17
755   2.834    6.021   3.285845e-15  2.423756e-16
756   2.937    0.393   3.241529e-15  2.954407e-16
757   2.937    1.178   3.568945e-15  1.339665e-16
758   2.937    1.963   2.936466e-15  1.519619e-16
759   2.937    2.749   3.847471e-15  2.864645e-16
760   2.937    3.534   3.023257e-15  1.994212e-16
761   2.937    4.320   2.749701e-15  1.969992e-16
762   2.937    5.105   2.844509e-15  1.598205e-16
763   2.937    5.890   3.018244e-15  1.628345e-16
764   3.039    0.785   3.257055e-15  1.609495e-16
765   3.039    2.356   3.915144e-15  3.678455e-16
766   3.039    3.927   2.868365e-15  2.556177e-16
767   3.039    5.498   3.108903e-15  1.308507e-16
