Num   theta     phi         ul          ul_err   
118   0.841    1.276   8.555971e-15  5.238169e-16
119   0.841    1.473   8.665147e-15  3.099489e-16
120   0.841    1.669   8.775553e-15  5.308855e-16
121   0.841    1.865   7.922957e-15  3.113261e-16
122   0.841    2.062   7.753120e-15  4.585181e-16
123   0.841    2.258   6.971457e-15  6.039671e-16
124   0.841    2.454   5.882872e-15  3.087811e-16
125   0.841    2.651   6.133234e-15  3.048155e-16
126   0.841    2.847   5.251519e-15  3.268745e-16
127   0.841    3.043   4.412980e-15  2.470444e-16
128   0.841    3.240   3.879585e-15  5.243557e-16
129   0.841    3.436   3.710429e-15  1.743270e-16
130   0.841    3.632   3.169044e-15  2.649936e-16
131   0.841    3.829   2.988302e-15  1.173016e-16
132   0.841    4.025   2.576231e-15  1.863989e-16
133   0.841    4.222   2.797143e-15  9.670654e-17
134   0.841    4.418   2.795640e-15  1.373371e-16
135   0.841    4.614   2.506301e-15  2.197988e-16
136   0.841    4.811   2.630882e-15  1.576293e-16
137   0.841    5.007   2.527660e-15  1.058573e-16
138   0.841    5.203   2.893361e-15  1.318873e-16
139   0.841    5.400   2.681554e-15  2.231581e-16
140   0.841    5.596   2.988982e-15  1.757005e-16
141   0.841    5.792   3.284517e-15  1.631634e-16
142   0.841    5.989   3.206418e-15  2.052196e-16
143   0.841    6.185   3.971618e-15  2.332027e-16
144   0.948    0.000   3.537802e-15  2.179653e-16
145   0.948    0.196   4.699343e-15  3.367138e-16
146   0.948    0.393   5.192404e-15  6.830426e-16
147   0.948    0.589   5.913281e-15  4.178244e-16
148   0.948    0.785   6.849901e-15  3.833393e-16
149   0.948    0.982   7.453062e-15  7.831146e-16
150   0.948    1.178   8.832486e-15  7.196810e-16
151   0.948    1.374   9.915059e-15  9.789360e-16
152   0.948    1.571   1.040492e-14  7.879180e-16
153   0.948    1.767   9.743522e-15  5.937208e-16
154   0.948    1.963   9.091546e-15  3.700628e-16
155   0.948    2.160   7.559822e-15  4.457121e-16
156   0.948    2.356   8.276702e-15  4.943530e-16
157   0.948    2.553   6.434998e-15  3.548038e-16
158   0.948    2.749   6.084591e-15  4.825069e-16
159   0.948    2.945   4.538271e-15  2.434614e-16
160   0.948    3.142   4.323815e-15  2.949738e-16
161   0.948    3.338   3.603497e-15  1.432095e-16
162   0.948    3.534   3.238507e-15  1.810895e-16
163   0.948    3.731   2.857708e-15  2.054378e-16
164   0.948    3.927   2.501546e-15  2.324834e-16
165   0.948    4.123   2.712397e-15  1.232691e-16
166   0.948    4.320   2.348503e-15  1.108996e-16
167   0.948    4.516   2.511772e-15  2.188616e-16
168   0.948    4.712   2.377630e-15  9.173020e-17
169   0.948    4.909   2.273707e-15  1.037106e-16
170   0.948    5.105   2.566365e-15  1.706689e-16
171   0.948    5.301   2.547174e-15  1.299012e-16
172   0.948    5.498   2.554205e-15  1.118797e-16
173   0.948    5.694   2.487459e-15  1.430718e-16
174   0.948    5.890   2.976193e-15  1.494606e-16
175   0.948    6.087   3.774901e-15  1.380359e-16
176   1.047    0.098   3.861361e-15  1.667880e-16
177   1.047    0.295   4.782056e-15  2.923633e-16
178   1.047    0.491   6.019757e-15  2.770590e-16
179   1.047    0.687   6.747980e-15  2.840630e-16
180   1.047    0.884   8.252297e-15  9.339309e-16
181   1.047    1.080   8.437979e-15  5.081957e-16
182   1.047    1.276   8.778342e-15  3.293235e-16
183   1.047    1.473   1.058692e-14  6.121560e-16
184   1.047    1.669   1.261380e-14  9.166461e-16
185   1.047    1.865   1.053237e-14  7.272725e-16
186   1.047    2.062   8.441232e-15  3.485806e-16
187   1.047    2.258   8.357574e-15  3.408662e-16
188   1.047    2.454   7.359806e-15  4.987264e-16
189   1.047    2.651   5.450518e-15  2.776015e-16
190   1.047    2.847   5.623560e-15  6.166303e-16
191   1.047    3.043   4.237444e-15  2.128625e-16
192   1.047    3.240   4.123014e-15  1.961159e-16
193   1.047    3.436   3.146729e-15  1.976269e-16
194   1.047    3.632   3.195294e-15  1.966781e-16
195   1.047    3.829   2.668018e-15  2.017649e-16
196   1.047    4.025   2.376247e-15  1.375389e-16
197   1.047    4.222   2.452377e-15  1.488904e-16
198   1.047    4.418   2.550318e-15  3.439281e-17
199   1.047    4.614   2.496300e-15  1.316913e-16
200   1.047    4.811   2.314198e-15  1.361021e-16
201   1.047    5.007   2.710760e-15  1.490939e-16
202   1.047    5.203   2.428588e-15  2.021887e-16
203   1.047    5.400   2.232445e-15  9.838074e-17
204   1.047    5.596   2.625872e-15  1.280733e-16
205   1.047    5.792   3.177121e-15  2.178751e-16
206   1.047    5.989   2.865001e-15  1.478445e-16
207   1.047    6.185   3.578089e-15  2.344419e-16
208   1.141    0.000   3.647663e-15  2.040989e-16
209   1.141    0.196   4.086954e-15  2.800694e-16
210   1.141    0.393   4.962822e-15  2.092192e-16
211   1.141    0.589   6.138900e-15  4.939917e-16
212   1.141    0.785   7.877460e-15  4.213471e-16
213   1.141    0.982   8.012341e-15  3.109854e-16
214   1.141    1.178   9.549490e-15  5.229657e-16
215   1.141    1.374   1.048801e-14  4.230407e-16
216   1.141    1.571   1.214495e-14  1.253276e-15
217   1.141    1.767   1.203701e-14  1.198448e-15
218   1.141    1.963   9.712756e-15  3.239175e-16
219   1.141    2.160   9.056237e-15  5.242394e-16
220   1.141    2.356   7.545291e-15  2.383123e-16
221   1.141    2.553   7.078699e-15  4.920327e-16
222   1.141    2.749   5.612026e-15  2.835017e-16
223   1.141    2.945   4.462182e-15  2.339794e-16
224   1.141    3.142   4.416458e-15  2.303642e-16
225   1.141    3.338   3.589888e-15  2.271284e-16
226   1.141    3.534   3.178460e-15  1.299477e-16
227   1.141    3.731   2.535400e-15  8.013963e-17
228   1.141    3.927   2.641702e-15  1.531083e-16
229   1.141    4.123   2.210729e-15  1.163130e-16
230   1.141    4.320   2.300091e-15  1.338345e-16
231   1.141    4.516   2.318780e-15  2.108911e-16
232   1.141    4.712   2.006948e-15  9.768253e-17
233   1.141    4.909   2.122068e-15  9.643742e-17
234   1.141    5.105   2.176163e-15  1.559217e-16
235   1.141    5.301   2.342571e-15  9.975777e-17
236   1.141    5.498   2.599280e-15  1.349863e-16
237   1.141    5.694   2.582680e-15  1.220218e-16
238   1.141    5.890   2.981609e-15  1.045539e-16
239   1.141    6.087   3.274115e-15  2.359359e-16
240   1.231    0.098   4.372362e-15  2.865479e-16
241   1.231    0.295   5.093049e-15  4.179835e-16
242   1.231    0.491   5.539745e-15  3.841740e-16
243   1.231    0.687   6.228399e-15  3.717283e-16
244   1.231    0.884   7.090159e-15  3.979765e-16
245   1.231    1.080   9.113732e-15  3.740928e-16
246   1.231    1.276   1.096398e-14  6.380513e-16
247   1.231    1.473   1.171091e-14  5.421846e-16
248   1.231    1.669   1.328089e-14  1.087154e-15
249   1.231    1.865   1.015231e-14  5.862812e-16
250   1.231    2.062   9.698869e-15  4.427948e-16
251   1.231    2.258   8.042112e-15  3.834847e-16
252   1.231    2.454   8.662730e-15  5.044178e-16
253   1.231    2.651   5.846282e-15  2.343503e-16
254   1.231    2.847   5.206565e-15  2.536432e-16
255   1.231    3.043   3.938404e-15  1.429868e-16
256   1.231    3.240   3.216006e-15  2.569800e-16
257   1.231    3.436   3.088887e-15  2.045292e-16
258   1.231    3.632   2.691092e-15  1.535955e-16
259   1.231    3.829   2.298601e-15  6.899946e-17
260   1.231    4.025   2.094677e-15  1.787058e-16
261   1.231    4.222   2.272855e-15  1.129894e-16
262   1.231    4.418   2.026332e-15  1.369880e-16
263   1.231    4.614   2.185987e-15  2.915468e-16
264   1.231    4.811   2.168246e-15  1.605923e-16
265   1.231    5.007   2.058428e-15  1.089466e-16
266   1.231    5.203   1.882038e-15  1.223375e-16
267   1.231    5.400   2.384195e-15  4.007971e-16
268   1.231    5.596   2.670499e-15  2.361413e-16
269   1.231    5.792   2.556065e-15  1.127918e-16
270   1.231    5.989   2.795897e-15  1.360388e-16
271   1.231    6.185   3.459511e-15  1.982221e-16
272   1.318    0.000   3.472251e-15  1.083565e-16
273   1.318    0.196   3.941784e-15  4.313885e-16
